Emblem_ID,Factory_CName,Factory_Address,Factory_Tel,Factory_Fax,Factory_Director,Material_Name,PType_Name,Product_Name
162001,德豐木業股份有限公司,南投縣竹山鎮延平一路二號,049-2642094,049-2647894,李岳峰,林產加工品,集成材,柳杉結構用集成材(異等級結構用(對稱構成、非對稱構成)、同等級結構用、大斷面、中斷面、小斷面等集成材種；符合CNS11031之材面品質1～3類、含水率15％以下、膠合性能為Ⅱ類使用環境、強度等級E65-F255；集成元層積數4層)
161902,明昇木業,嘉義市西區世賢路一段580巷310號,052326186,052339102,李明生,林產加工品,木製材品,柳杉底材用製材品(針葉樹底材用製材(角材、板材)，材面品質2等以上，含水率為30％以下，乾燥處理(天然)，尺度依實際長度標示)
161901,明昇木業,嘉義市西區世賢路一段580巷310號,052326186,052339102,李明生,林產加工品,木製材品,柳杉製材品(乙種結構用製材(板材)，材面品質3等以上，含水率SD25，乾燥處理(天然)，尺度依實際長度標示。)
161802,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,防腐柳杉規格品(裝修用木材(板材)，材面品質大節(含)以上，含水率D18，板材，防腐處理ACQ K1~K4，尺度依實際長度標示)
161802,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,防腐柳杉規格品(乙種結構用材(角材、圓柱)，材面品質3等(含)以上，含水率SD20，防腐處理ACQ K1~K4，尺度依實際長度標示)
161801,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,柳杉規格品(裝修用木材(板材)，材面品質大節(含)以上，含水率D18，尺度依實際長度標示)
161801,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,柳杉規格品(乙種結構用製材(角材、圓柱)，材面品質3等(含)以上，含水率SD20，尺度依實際長度標示)
161801,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,柳杉底材(針葉樹底材用製材(角材、板材)，材面品質2等(含)以上，乾燥處理(天然)，含水率30％以下，尺寸:依實際長度標示)
161603,昆晉實業股份有限公司,宜蘭縣蘇澳鎮龍德工業區自強路8號,039902485,039904455,林榮三,林產加工品,木製材品,結構用製材-柳杉防腐材(乙種結構用製材(圓柱、角材、板材)，材面品質3等(含)以上，含水率SD20，防腐處理CuAz K4等級，尺度依實際長度標示)
161602,昆晉實業股份有限公司,宜蘭縣蘇澳鎮龍德工業區自強路8號,039902485,039904455,林榮三,林產加工品,木製材品,結構用製材-臺灣杉(乙種結構用製材(角材、板材)，材面品質3等(含)以上，含水率SD20，尺度依實際長度標示)
